매물이름,월세,전세,가격,소재지,특징,공급/전용면적
일반원룸3층,O,X,3000/55,서울시 관악구 봉천동 1575-13,준신축급 깔끔인테리어 엘베有 편의시설多 분리형 즉시입주,23.1㎡/23.1㎡(전용률100%)
일반원룸1층,O,X,1000/40,서울시 관악구 봉천동 1689-18,역2분 풀옵션 깔끔한방 편의시설多 초역세권 즉시입주O,23.1㎡/23.1㎡(전용률100%)
일반원룸3층,O,X,500/35,서울시 관악구 봉천동 1589-14,역6분 분리형 큰방 풀옵션 리모델링완료 편의시설多 깔끔,26.4㎡/26.4㎡(전용률100%)
일반원룸2층,X,O,7900,서울시 관악구 봉천동 1566-10,대출OK 반려동물OK 리모델링 경비원有 역세권 원룸,23.1㎡/23.1㎡(전용률100%)
일반원룸고층,O,X,1000/40,서울시 관악구 봉천동 1609-29,서울대생 환영 깨끗하고 채광 좋은집,23.1㎡/23.1㎡(전용률100%)
일반원룸2층,O,X,2000/45,서울시 관악구 봉천동 1605-30,서울대입구역 도보 10분거리 갓성비 원룸,23.1㎡/19.8㎡(전용률86%)
관악캠퍼스타워(주상복합) 1동18층,O,X,3000/95,X,서울대입구 역세권 대로변 주상복합아파트 내부깔끔 오픈형 이사협의 월세,66.3㎡/40.56㎡(전용률61%)
일반원룸저층,O,X,500/29,서울시 관악구 봉천동 1534-38,-,21.49㎡/17.19㎡(전용률80%)
일반원룸B1층,O,X,1000/41,서울시 관악구 봉천동 934-27,봉천역 도보 5분거리 가성비 원룸,23.1㎡/19.8㎡(전용률86%)
동아타운 1동10층,O,X,1억/68,X,보증보험가능 진짜 놓치지 마세요 위치 컨디션 가격 모두 최강의 집,42.14㎡/28.8㎡(전용률68%)
오피스텔7층,O,X,1000/50,서울시 관악구 봉천동 44-2,서울대입구역 도보 10분거리 갓성비 원룸,23.1㎡/19.8㎡(전용률86%)
오피스텔7층,O,X,1000/50,서울시 관악구 봉천동 44-2,서울대입구역도보7분 깔끔하고 쾌적한 풀옵션 오피스텔 원룸,26.4㎡/19.8㎡(전용률75%)
일반원룸3층,O,X,1000/45,서울시 관악구 봉천동 196-128,엘베有 낙성대 넓고 쾌적한 방 상태 최고,23.1㎡/23.1㎡(전용률100%)
일반원룸중층,O,X,500/38,서울시 관악구 봉천동 1690-117,즉시입주가능 채광좋은 분리형 원룸,23.1㎡/23.1㎡(전용률100%)
플러스타워 1동3층,O,X,3000/56,X,사진0 역세권 대로변 플러스타워 오피스텔,21.75㎡/16.43㎡(전용률76%)
은천2단지 204동4층,O,X,2억 9000/10,X,수리하여 깔끔함 즉시입주 입주협의.,69.71㎡/49.95㎡(전용률72%)
